day,month,year,Cleaned_Tweets,Retweets,Likes
3,3,2022,"Updating software to reduce peak power consumption, so Starlink can be powered from car cigarette lighter.Mobile roaming enabled, so phased array antenna can maintain signal while on moving vehicle.",7327,54955
3,3,2022,"Yeah, maybe 98",79,1989
3,3,2022,This old YouTube clip helps explain why former UAW members who work at Tesla are not huge fans of UAW,432,3316
3,3,2022,Yes,175,3881
3,3,2022,"Our real challenge is Bay Area has negative unemployment, so if we donât treat and compensate our awesome people well, they have many other offers and will just leaveIâd like hereby to invite UAW to hold a union vote at their convenience. Tesla will do nothing to stop them.",686,6757
3,3,2022,"Actually, we still operate our California factory, which is the largest auto plant in North America, at full capacity and are considering expanding it significantly.It has built 2/3 of all electric vehicles in North America, twice as much as all other carmakers combined.",3553,51206
3,3,2022,Ukraine civilian Internet was experiencing strange outages â bad weather perhaps â so SpaceX is helping fix it,3518,31770
3,3,2022,  American Broomstick  ,8842,76831
3,3,2022,"By the way, Tesla factory worker compensation is the highest in the auto industry",565,5375
4,3,2022,Ich mÃchte mich recht herzlich bedanken. Die Zukunft ist sehr spannend  ,736,11394
4,3,2022,Haha sure :,144,4302
4,3,2022,,440,15047
4,3,2022,Game on,990,11876
4,3,2022,"Almost all Viasat Ukraine user terminals were rendered permanently unusable by a Russian cyberattack on day of invasion, so â yes",672,9365
4,3,2022,You will be in the future,1457,40989
5,3,2022,"To be clear, SpaceX wasnât given 1.5B â we were given a contract for cargo delivery to amp from Space Station that would amount to 1.5B if successful",1032,19275
5,3,2022,My old delta-v mug,364,13850
5,3,2022,"Pshaw, how pedestrian I was thinking more â space dragons with âlasersâ",1989,37317
5,3,2022,"Alternate name for our company was Faraday, who invented the electric motor, whereas Nikola Tesla invented the AC induction motor",898,18410
5,3,2022,"In a way, this is free QA haha",554,12799
5,3,2022,A beautiful home for life,998,23152
5,3,2022,Some Starlink terminals near conflict areas were being jammed for several hours at a time. Our latest software update bypasses the jamming.Am curious to see whatâs next,2721,25596
5,3,2022,Exactly,215,6686
5,3,2022,"Increased oil amp gas production in the short term is critical or people around the world will be placed under great duress. This is not a question of money, it is a question of having enough energy to power civilization.",6260,37864
5,3,2022,Starlink has been told by some governments not Ukraine to block Russian news sources. We will not do so unless at gunpoint.Sorry to be a free speech absolutist.,73677,540318
5,3,2022,SpaceX reprioritized to cyber defense amp overcoming signal jamming. Will cause slight delays in Starship amp Starlink V2.,11767,148319
5,3,2022,"Who, me ",153,4635
5,3,2022,Exactly,166,5007
5,3,2022,"And also my sympathies to the great people of Russia, who do not want this",17766,329363
5,3,2022, Hold Strong Ukraine ,52979,547315
5,3,2022,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil amp gas exports.",20500,203931
5,3,2022,"Hate to say it, but we need to increase oil amp gas output immediately. Extraordinary times demand extraordinary measures.",78576,471761
5,3,2022,"All news sources are partially propaganda, some more than others",8911,63251
6,3,2022,Yeah,93,2645
6,3,2022,"Self-driving car will amplify traffic to insane levels, as you wonât feel the pain of driving yourself",4338,95018
6,3,2022,Also nuclear is vastly better for global warming than burning hydrocarbons for energy,13376,172706
6,3,2022,"Hopefully, it is now extremely obvious that Europe should restart dormant nuclear power stations and increase power output of existing ones. This is critical to national and international security.",42118,315067
6,3,2022,"For those who mistakenly think this is a radiation risk, pick what you think is the worst location. I will travel there amp eat locally grown food on TV.I did this in Japan many years ago, shortly after Fukushima. Radiation risk is much, much lower than most people believe.",16381,182367
6,3,2022,Yup,131,5538
6,3,2022,Aquarion and Polaris,86,1894
6,3,2022,Defeating traffic is the ultimate boss battle. Even the most powerful humans in the world cannot defeat traffic.,12651,188087
6,3,2022,Basic appliances should not connect to the Internet or have significant compute power or they will/are/have obviously be turned into an army of ddos puppets,1007,12454
6,3,2022,"Polytopia is way better imo, if you like strategy games",216,6501
6,3,2022,"Chess is a simple game. Understandable when all we had to play with were squirrels  and  rocks, but now we have computers .",334,8387
6,3,2022,.,137,3153
6,3,2022,Maybe Tesla should make an AI vision device that plugs into these legacy traffic lights. It could just look at traffic amp automatically maximize throughput.,1317,17257
6,3,2022,Beta 10.12 probably releases Tuesday in US and Friday in Canada,298,4644
6,3,2022,Terminator Resistance is a good game,241,8599
6,3,2022,Even some of the best AI software engineers in the world donât realize how advanced Tesla AI has become,16996,251376
6,3,2022,We are almost at the point where interventions are so rare on city streets that we can turn our attention to applying the code to highways. No point in doing so until passing that threshold.,413,8036
6,3,2022,Cool,380,13930
7,3,2022,Another Starlink launch tomorrow,1660,33889
7,3,2022,"You are my favorite hello,And my hardest goodbye.",45054,357665
7,3,2022,It was an honor,292,6792
8,3,2022,ESG rules have been twisted to insanity,1266,12240
8,3,2022,ESG should be deleted if not fixed,402,4150
9,3,2022,Cool,289,10052
9,3,2022,Another 48 Starlinks just reached orbit,12860,157071
9,3,2022,Wow,404,14023
9,3,2022,Very important that there be an organization tasked with regulation removal or the number of rules will grow every year until progress is completely buried by bureaucracy,1181,14193
9,3,2022,"There is no direct evidence of that ad being run, but that does sum up the sales pitch. It is mind-blowing that he amp his crew rowed to a whaling station from the Antarctic",166,3184
9,3,2022,"In our experience, COPV gain/pain flattens out above 6000 psi and is lt1 above 10,000 psi, unless volume constrained like Dragon. Heating from pressurization amp cooling from depressurization also become major problems at very high pressure.",239,5362
9,3,2022,"Optimized, fully-reusable Starship is 150t to same reference orbit as Saturn V. In expendable mode, Starship payload would be 250t to 300t.",733,12400
9,3,2022,"Youâre welcome. We have also sent power adapters for car cigarette lighters, solar/battery packs and generators for places where electricity is not available.",3257,40924
10,3,2022,This weekend,193,3664
11,3,2022,What if one atom at a time in your body was switched out for another atom There would be you with all new atoms and another you with the original atoms â Human of Theseus.,2004,38160
11,3,2022,"Little do they know, birds arenât real",2092,22672
12,3,2022,"Cereal, but maybe Iâve been doing it wrong all this time. I know itâs bad for you, but sugared cereal is amazing.",177,3977
12,3,2022,The Forbidden Cereal ,375,10209
12,3,2022,Me encanta el mariachi,3792,75182
13,3,2022,Fifteen Decisive Battles of the World,7281,118381
13,3,2022,"Insightful analysis, ensconced in eloquent prose",336,9448
13,3,2022,"The Story of Civilization, especially books 2 amp 11",439,5493
13,3,2022,Always worth reading about the many civilizations that have risen and fallen â lessons we should take to heart. There is danger to a âUnited Earthâ in that it may result in a collective fall or ossification of civilization.,463,4011
13,3,2022,What are your thoughts about probable inflation rate over next few years,10901,160237
14,3,2022,I hereby challengeÐÐÐÐÐÐ¼ÐÑ ÐÑÑÐÐ½ to single combatStakes are ÐÐºÑÐÑÐ½Ð,53646,391986
14,3,2022,"Yeah, I did manage to throw the world champion sumo wrestler, but at the cost of smashing a disc in my neck that caused me insane back pain for 7 years",348,8483
14,3,2022,Pretty much,514,25538
14,3,2022,ÐÑ ÑÐ¾Ð³ÐÐÑÐ½Ñ Ð½Ð ÑÑÐ¾Ñ ÐÐ¾Ð¹,9271,125111
14,3,2022,I am absolutely serious,1950,48439
14,3,2022,ÑÑÐ¾ ÐÑÐÐ¾ ÐÑ ÑÐµÑÑÑÑ,181,3575
14,3,2022,By the pricking of my thumbs â,4647,110085
14,3,2022,Vector lanes is a particularly significant architectural improvement to Tesla AI,308,5621
14,3,2022,"As a general principle, for those looking for advice from this thread, it is generally better to own physical things like a home or stock in companies you think make good products, than dollars when inflation is high.I still own amp wonât sell my Bitcoin, Ethereum or Doge fwiw.",14328,58764
14,3,2022,It is not entirely unpredictable that you would reach that conclusion,749,17590
14,3,2022,Model S amp X are sublime,315,9658
14,3,2022,And we are not alone,2684,37560
14,3,2022,Tesla amp SpaceX are seeing significant recent inflation pressure in raw materials amp logistics,4352,69318
14,3,2022,"If this version performs well, we can probably lower min safety score to 95",172,3220
14,3,2022,There is a beauty to the biological substrate,4652,91766
15,3,2022,"Thank you for the offer, but such excellent training would give me too much of an advantage. If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.Elona",22737,340651
15,3,2022,"Telegram post by Ramzan Kadyrov, head of Chechen Republic",20831,224980
15,3,2022,Congrats,281,9223
15,3,2022, Starlink ,880,21691
15,3,2022,He can even bring his bear,1814,30576
15,3,2022,Ok :,242,6824
